"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Radio, television and communication equipment and apparatus","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","173,854","e"
"2000","Radio, television and communication equipment and apparatus","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","7,780","e"
"2000","Radio, television and communication equipment and apparatus","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","50,581,090","e"
"2000","Medical, precision and optical instruments, watches and clocks","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","112,604","e"
"2000","Medical, precision and optical instruments, watches and clocks","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","97,274","e"
"2000","Medical, precision and optical instruments, watches and clocks","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","103,638","e"
"2000","Medical, precision and optical instruments, watches and clocks","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","4,869","e"
"2000","Medical, precision and optical instruments, watches and clocks","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","33,720,050","e"
"2000","Motor vehicles, trailers and semi-trailers","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","543,107","e"
"2000","Motor vehicles, trailers and semi-trailers","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","507,437","e"
"2000","Motor vehicles, trailers and semi-trailers","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","558,584","e"
"2000","Motor vehicles, trailers and semi-trailers","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","23,947","e"
"2000","Motor vehicles, trailers and semi-trailers","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","191,779,410","e"
"2000","Other transport equipment","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","153,249","e"
"2000","Other transport equipment","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","139,188","e"
"2000","Other transport equipment","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","154,703","e"
"2000","Other transport equipment","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","6,314","e"
