"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","Italy","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","271.78",""
"2006","Italy","Nitrous oxide","Education","Tonne","4.91",""
"2006","Italy","Nitrous oxide","Human health and social work activities","Tonne","2,167.23",""
"2006","Italy","Carbon dioxide","Total - all NACE activities","Tonne","381,439,711",""
"2006","Italy","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","2,460,275",""
"2006","Italy","Carbon dioxide","Education","Tonne","40,983",""
"2006","Italy","Carbon dioxide","Human health and social work activities","Tonne","1,232,518",""
"2006","Cyprus","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Cyprus","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Cyprus","Nitrogen oxides","Education","Tonne",":",""
"2006","Cyprus","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Cyprus","Methane","Total - all NACE activities","Tonne",":",""
"2006","Cyprus","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Cyprus","Methane","Education","Tonne",":",""
"2006","Cyprus","Methane","Human health and social work activities","Tonne",":",""
"2006","Cyprus","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Cyprus","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Cyprus","Nitrous oxide","Education","Tonne",":",""
"2006","Cyprus","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Cyprus","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Cyprus","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Cyprus","Carbon dioxide","Education","Tonne",":",""
"2006","Cyprus","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Latvia","Nitrogen oxides","Total - all NACE activities","Tonne","47,005.78",""
"2006","Latvia","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","838.28",""
"2006","Latvia","Nitrogen oxides","Education","Tonne","165.41",""
"2006","Latvia","Nitrogen oxides","Human health and social work activities","Tonne","230.84",""
"2006","Latvia","Methane","Total - all NACE activities","Tonne","69,372.8",""
"2006","Latvia","Methane","Public administration and defence; compulsory social security","Tonne","913.82",""
"2006","Latvia","Methane","Education","Tonne","250.19",""
"2006","Latvia","Methane","Human health and social work activities","Tonne","355.32",""
"2006","Latvia","Nitrous oxide","Total - all NACE activities","Tonne","5,300.75",""
"2006","Latvia","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","9.94",""
"2006","Latvia","Nitrous oxide","Education","Tonne","3.05",""
"2006","Latvia","Nitrous oxide","Human health and social work activities","Tonne","7.03",""
"2006","Latvia","Carbon dioxide","Total - all NACE activities","Tonne","7,991,573",""
"2006","Latvia","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","135,649",""
"2006","Latvia","Carbon dioxide","Education","Tonne","39,899",""
"2006","Latvia","Carbon dioxide","Human health and social work activities","Tonne","68,892",""
